Sample_Data,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,True_Positive_PAC,False_Positive_PAC,True_Negative_PAC,False_Negative_PAC,Accuracy_PAC,Spesifisity_PAC,sn_PAC,True_Positive_PVC,False_Positive_PVC,True_Negative_PVC,False_Negative_PVC,Accuracy_PVC,Spesifisity_PVC,sn_PVC
211,999,0,0,951,8,40,0,8,991,0,99.2,99.2,0.0,0,40,959,0,96.0,96.0,0.0
212,9063,12,48,8832,58,233,12,46,9065,0,99.5,99.5,100.0,48,185,8890,0,97.97,97.96,100.0
216,6875,0,1,6660,41,175,0,41,6835,0,99.4,99.4,0.0,1,174,6701,0,97.47,97.47,100.0
218,7466,0,3,7448,0,21,0,0,7469,0,100.0,100.0,0.0,2,19,7447,1,99.73,99.75,66.66666666666666
219,5101,0,1,5061,0,41,0,0,5102,0,100.0,100.0,0.0,1,40,5061,0,99.22,99.22,100.0
230,5235,0,2,5233,0,4,0,0,5237,0,100.0,100.0,0.0,2,2,5233,0,99.96,99.96,100.0
281,3313,1,27,3150,5,186,1,4,3336,0,99.88,99.88,100.0,27,159,3155,0,95.24,95.2,100.0
401,6765,0,1,6663,4,99,0,4,6762,0,99.94,99.94,0.0,1,98,6667,0,98.55,98.55,100.0
403,3812,0,0,3807,0,5,0,0,3812,0,100.0,100.0,0.0,0,5,3807,0,99.87,99.87,0.0
437,509,0,0,438,11,60,0,11,498,0,97.84,97.84,0.0,0,60,449,0,88.21,88.21,0.0
439,9750,0,3,9648,9,96,0,9,9744,0,99.91,99.91,0.0,3,93,9657,0,99.05,99.05,100.0
443,11543,23,220,10367,285,1134,23,262,11501,0,97.78,97.77,100.0,217,917,10649,3,92.19,92.07,98.63636363636363
444,10475,0,6,10459,0,22,0,0,10481,0,100.0,100.0,0.0,6,16,10459,0,99.85,99.85,100.0
451,1396,0,0,1333,5,58,0,5,1391,0,99.64,99.64,0.0,0,58,1338,0,95.85,95.85,0.0
452,10095,23,380,7254,595,2649,23,572,9903,0,94.55,94.54,100.0,380,2269,7849,0,78.39,77.57,100.0
454,89,0,15,85,0,19,0,0,104,0,100.0,100.0,0.0,12,7,82,3,90.38,92.13,80.0
476,1147,0,0,997,15,135,0,15,1132,0,98.69,98.69,0.0,0,135,1012,0,88.23,88.23,0.0
482,1795,0,27,1645,3,174,0,3,1819,0,99.84,99.84,0.0,27,147,1648,0,91.93,91.81,100.0
484,8062,2,17,7817,44,220,2,42,8037,0,99.48,99.48,100.0,17,203,7861,0,97.49,97.48,100.0
485,6756,3,134,6263,64,566,3,61,6829,0,99.12,99.11,100.0,133,433,6326,1,93.7,93.59,99.25373134328358
